회사명,연도,직무분야,직무명,질문 내용,답변
한국수력원자력(주),2023년 상반기,공공기관,전기·전자엔지니어,"정직, 남을 위한 봉사, 규칙 준수 등 윤리적인 행동으로 좋은 결과를 얻었던 경험을 아래 세부 항목에 따라 구체적으로 작성해 주십시오.","2-1. 언제, 어디서 있었던 일이며, 본인이 맡았던 역할은 무엇이었는지 기술해 주십시오. (300자 이내)학창 시절 OO 과학관에서 개최하는 초등학생 실험의 실험 도우미 봉사활동을 통해 학생들을 보조했던 경험이 있습니다.해당 활동은 초등학생 저학년을 대상으로 기계의 조립과 제작을 도와주는 봉사였습니다.평소 관심 있어 하던 과학 분야와 연관된 봉사여서 공고를 보자마자 바로 지원했고, 해당 봉사활동에 참여할 수 있게 되었습니다.봉사활동을 시작하기 전에 실험 도우미 교육을 받았습니다.그곳에서 실험의 목적과 보조 방법, 주의사항 등을 배웠습니다. 또한 학생들과 소통하는 방법도 배웠습니다.2-2. 구체적으로 한 행동과 그렇게 행동하셨던 이유는 무엇인지 기술해 주십시오. (300자 이내)실험 도중 집중을 못 하고 소란스럽게 행동하는 학생 한두 명이 수업을 방해하는 일이 발생하게 되었습니다.이때 저는 그 아이 옆으로 재빨리 다가가 그 학생과 대화하였고, 아이가 수업에 잘 집중할 수 있도록 다독여 주었습니다.잘 다독여 주지 않으면 또다시 수업을 방해할 가능성이 존재했기 때문입니다.아울러 복잡한 조립을 어려워하는 아이들을 하나하나 가르치고 도와주는 적극적인 행동으로 실험을 순조롭게 진행하게 했습니다.그렇게 기계의 조립과 제작을 도와주는 실험을 무사고로 마무리할 수 있었습니다.2-3. 그러한 행동이 당신과 타인에게 미친 영향은 무엇인지 기술해 주십시오. (200자 이내)봉사활동이 끝나고, 몇몇 학생이 실험을 잘 도와줘서 고맙다며 감사 인사를 하기도 했습니다.해당 봉사활동을 통해 공공의 이익에 기여했다고 생각합니다.학생들에게 과학적 사고와 탐구심을 심어주었으며, 과학교육의 활성화에 도움을 주었기 때문입니다.이러한 경험을 통해 봉사 대상에 대한 이해와 봉사를 통해 공공의 이익에 기여하는 방법을 배우게 되었습니다."
한국수력원자력(주),2023년 상반기,공공기관,전기·전자엔지니어,"본인이 한국수력원자력의 인재상에 맞는 인재가 되기 위해 어떤 면에서 준비가 되어 있으며, 해당 능력을 개발하기 위해 어떠한 노력을 하였는지 구체적인 사례를 아래 세부 항목에 따라 작성해 주십시오.","4-1. 어떤 능력을 개발하였고, 이러한 능력 개발을 위해 어떤 목표를 세웠는지 기술해 주십시오. (200자 이내)저는 세 인재상 중 '기본에 충실한 인재'에 가장 적합하다고 생각합니다.전기 시설 및 장비에 대한 전문적인 지식을 습득하고, 다양한 전자기기와 프로그램의 사용법을 익히는 것이 기본 중의 기본이라 생각했기 때문입니다.그래서 여러 목표 중 하나인 '다양한 전자기기와 프로그램의 사용법을 익히는 것'에 힘썼습니다.4-2. 목표 달성을 위해 어떤 계획을 세웠고, 계획을 실천하는 과정에서 가장 어려웠던 점과 이를 어떻게 극복하였는지 기술해 주십시오. (400자 이내)학부 시절에 배우는 '다양한 전자기기와 프로그램의 사용법'을 익히기 위해 학교 수업에 충실히 임하는 것을 1순위로 삼았습니다.그 과정에서 2인 1조로 활동하는 '마이크로파 회로설계' 과목에서 만난 같은 조의 조원과 함께 필터를 설계하는 과제를 해결하고, 시험도 같이 준비하면서 친목도 키워나갔습니다.공부할 때 가장 힘들었던 점은 사용법을 익히는데 느껴지는 '어려움'이었습니다. 이 어려움을 극복하기 위해 사용법이 익숙해질 때까지 공부하고 또 공부함으로써 머리보다 손이 먼저 반응할 때까지 반복했습니다.그 결과 공학프로그램 ADS, PSpice, smith123 등 다양한 프로그램의 사용법을 익혔습니다. 그리고 전자기기 아두이노의 기초뿐만 아니라 오실로스코프, 벡터 네트워크 분석기 등의 사용법도 익혔습니다.4-3. 향후 자신의 능력을 향상시키고 이를 잘 활용하기 위해 어떻게 노력할 것인지 기술해 주십시오. (200자 이내)위 경험을 통해 앞으로 어떤 공부를 해야 할지에 대한 방향성을 보다 더 명확하게 결정하게 되었습니다.여기에 그치지 않고, 전기 장비를 안전하고 효율적으로 관리하는 방법 및 공사 시 지켜야 할 규칙 등을 공부하기 위해 '산업안전기사' 자격증의 실기 합격에도 힘쓰고 있습니다.해당 자격증을 공부함으로써 전기뿐만 아니라 안전에 대한 전문성도 기를 것입니다."
한국수력원자력(주),2023년 상반기,공공기관,전기·전자엔지니어,"단체(학교, 회사, 동아리, 동호회 등)에서 대화나 토론을 통해 상호 입장과 상황을 정확히 이해함으로써 건설적으로 문제를 해결해 본 경험에 대해 아래 세부 항목에 따라 작성해 주십시오.","5-1. 구성원들이 의견 차이를 보였던 견해에는 어떤 것들이 있었고 그 이유는 무엇인지, 그리고 본인의 입장은 어떠했는지 기술해 주십시오. (200자 이내)4학년 1학기 학부 시절에 진행한 안테나 제작 프로젝트를 통해 '원칙 준수와 일의 효율성 사이에서 갈등했던 경험'이 있습니다.실험 보고서를 작성할 때 저는 실험 데이터를 정확하게 기록하고 분석하는 것이 중요하다고 생각했습니다.하지만 제 팀원들은 데이터가 완벽하지 않아도 괜찮다고, 보고서 작성에 너무 많은 시간을 쏟지 말라고 했습니다.5-2. 상대방을 이해하기 위해 어떤 노력을 하셨는지, 상대방을 설득하기 위해 본인이 사용한 방법이 무엇이고 그 결과는 어떠했는지 기술해 주십시오. (400자 이내)보고서 작성에 대해 이야기하면서 저를 포함한 팀원들이 다른 팀원의 의견에 집중하고 서로의 생각에 대해 의견을 나누기 시작했습니다. 여기서 제 생각과 팀원들의 생각 사이의 차이를 좁히거나 해결하기 위해 다음과 같은 노력을 했습니다.첫째, 실험 데이터의 정확성이 보고서의 질과 신뢰도에 어떤 영향을 미치는지를 설명하고, 팀원들의 의견을 경청하려 노력했습니다.둘째, '정확한 데이터 작성'과 '해당 실험을 통해 깨달은 점' 둘 중 교수님이 어느 걸 더 중요시하는지를 재고했습니다.저와 팀원들의 대화와 경청 덕분에 '해당 실험을 통해 깨달은 점'을 인식하는 게 더 중요하다는 것을 깨닫고 더 이상 '정확한 데이터 작성'에 연연하지 않았습니다. 결과적으로 보고서의 질과 마감 기한을 모두 만족시키는 성과를 거두었습니다.5-3. 대화를 진행하는 과정에서 가장 중요하게 생각한 점은 무엇이었는지 기술해 주십시오. (200자 이내)해당 경험을 통해 원칙 준수와 효율성 사이에서 균형을 잡는 방법을 배웠습니다. 그동안 원칙을 지키는 것이 더 중요하다고 생각했지만, 때로는 일의 효율성을 위해 융통성을 발휘해야 하는 경우도 있다는 것을 깨달았습니다.또한 팀원들과의 소통과 협력이 갈등 해결 및 의견 통합에 매우 중요한 역할을 한다는 것을 다시 한번 느꼈습니다."
E1,2023년 하반기,화학·에너지,회계담당자,"지원자 본인에 대하여 소개해 주세요. (성격/성향/가치관 등을 중심으로) (최소 200자, 최대 500자 입력 가능)","어릴 적부터 지켜온 삶의 덕목은 바로 ‘책임감’입니다. 스스로가 불러온 일에 대해 책임지는 것을 피하지 않고, 이를 받아들임으로써 한층 더 성장할 수 있다는 것을 배워왔습니다. 어떠한 결정을 내릴 때, 언제나 치밀하게 조사하고 설령 실패하더라도 그 이후의 ‘플랜 B’를 늘 준비하는 습관을 기를 수 있었습니다. 그렇기에 전문직 시험 준비와 같은 어려운 결정을 할 때도 온전히 저의 결정으로 임하게 되었고, 비록 실패했지만, 이에 좌절하지 않고 이러한 경험을 양분 삼아 앞으로의 미래에 대해 설계하게 되었습니다.회계 담당자로서 가장 필요한 덕목 역시 책임감이라고 생각합니다. 제 인생에 있어 주인의식을 가지고 살아왔기에 E1에서도 단지 근로자의 마음이 아닌, 저 스스로가 이 회사의 주인이고 얼굴이라는 인식을 가지고 책임감 있게 업무에 임하겠습니다."
E1,2023년 하반기,화학·에너지,회계담당자,"E1이라는 회사와 지원한 직무를 선택한 이유를 설명해 주세요. (최소 200자, 최대 500자 입력 가능)","기업에 지원할 때 가장 중요하게 생각하는 것은, ‘해당 기업이 어떠한 비전을 가지고 있는지’입니다. 뛰어난 비전을 가진 기업에서 스스로의 성장과 기업의 성과를 동시에 일궈낼 수 있다고 생각하기 때문입니다. E1은 LPG 업계에서 독보적인 위치에 있습니다. 그러나 이에 안주하지 않고 지속적으로 실적 개선에 힘쓰며 한편으로는 미래 먹거리 산업인 전기와 수소충전 사업에도 진출하고 있습니다. E1의 도전은 확고한 비전으로부터 나온다고 생각합니다. 저 역시 명확한 목표와 비전을 세우고 도전하는 것을 모토로 삼고 있습니다. 그렇기에 저의 역량을 이용해 E1에 기여하기 위해 지원하게 되었습니다.회계 직무는 어떤 기업이나 부문에서도 핵심이 되는 직무라고 생각합니다. 의사결정에 있어 판단에 가장 큰 도움을 주는 것은 그 어떤 것보다도 숫자이며, 그 숫자는 내부회계로부터 도출되기 때문입니다. 그렇기에 저는 이러한 회계의 중요성을 이해하고, 그 역할을 최대한 활용하여 그룹의 성과에 기여하고 싶습니다."
E1,2023년 하반기,화학·에너지,회계담당자,"다른 사람을 배려하고 협업하여 성취한 본인만의 사례를 한 가지 소개해 주세요. (최소 200자, 최대 500자 입력 가능)","교포 2세들과 한국인 학생들로 팀을 이루어 2개월간 봉사를 했던 경험이 있습니다. 4주간의 합숙생활을 하며 하나의 준비된 봉사 팀을 만들어내는 것을 목표로 삼았습니다. 그러나 살아온 배경, 문화, 언어 등 모든 것이 달라서 의사소통하는 것조차 쉽지 않았습니다. 그렇기에 우선 서로에 대해 이해하는 시간을 갖기로 했습니다. 매일 밤 1시간 동안 각자의 이야기를 듣는 시간을 만들었습니다. 국적과 문화가 다르지만 모두가 비슷한 고민과 감정을 공유하고 있다는 것을 알게 되었습니다. 또한 봉사 준비를 하는 과정에서 서로 번역을 해주며 도왔으며, 사소한 다툼은 그 자리에서 해결하는 방식으로 유대를 다졌습니다. 결과적으로 무사히 봉사를 마칠 수 있었고 지금까지 왔던 봉사 팀 중 가장 화목했던 팀이었다는 평가를 들었습니다.이런 경험은 제 스스로의 성장을 이뤄낸 경험이었다고 생각합니다. 낯선 사람들과 함께 목표를 달성함에 있어, 타인에 대한 이해가 선행되어야 한다는 것을 배웠습니다."
E1,2023년 하반기,화학·에너지,회계담당자,"지원 직무에서 본인이 발휘할 수 있는 역량과 전문성을 어필해 주세요. (최소 200자, 최대 500자 입력 가능)","저는 재무회계 전문가로서의 경쟁력을 갖추기 위해 다음과 같은 역량을 쌓았습니다.첫째는, ‘소통 능력’입니다. 2022년 2기 부가가치세 신고 현장 실습을 진행한 경험이 있습니다. 팀장으로서 활동하며 세무 공무원들과 업무를 조율하고 협동하며 유대적인 관계를 형성하는 법에 대해 배웠고 민원인들을 상대하며 소통하는 법을 배웠습니다.둘째로, ‘직무 관련 지식’입니다. 전공 재무관리, 세무회계, 원가관리회계 수업에서 A를 받았습니다. 그러나 회계원리에서 B를 받았고 회계에 대한 공부가 부족하다고 느껴 전문성을 기르기 위해 공인회계사 시험을 준비하였습니다. 연결재무제표를 작성해 보며 상장사의 연결회계 처리에 대한 이해를 했습니다. 또한 상법과 세법을 공부하며 경영과 세금이 어떤 원칙에 의해 이루어지는지 배웠습니다. 그리고 재무관리 과목을 통해 자금의 흐름과 수익성 평가에 대해 깊게 이해할 수 있었습니다. 또한, 재경관리사 자격증을 취득하여 전문성을 더했습니다."
E1,2023년 하반기,화학·에너지,회계담당자,"본인이 생각하는 이상적인 직장 생활과 조직 문화를 상상하여 적어주세요. (최소 200자, 최대 500자 입력 가능)","제가 생각하는 이상적인 직장 생활은 '자기 발전을 서로 독려하고 자극해 주는' 직장이라고 생각합니다. 하루 대부분의 시간을 일터에서 보내는 직장인에게 가장 큰 영향력을 끼치는 존재는 다름 아닌 직장 동료입니다. 그렇기에 각자가 어떠한 존재가 되어주는지가 중요하다고 생각합니다. 단지 맡은 일만 하는 것이 아니라, 부족한 것이 있다면 도와주고 이끌어주면은 분위기를 형성하는 것이 필요하다고 생각합니다. 또한, 누군가의 다른 이에겐 목표가 되어 서로가 서로에게 긍정적인 자극을 전달하는 것이 중요해 보입니다. 이를 위해 선배, 동기들과 교류하며 조직 생활에 적응하고 저부터 '회사 생활 잘하는 사원'이 되어 조직 내에 발전적인 영향력을 끼치겠습니다.모두가 상생하고 협력하며 건전한 경쟁을 만들어 나갈 때, 한마음 한뜻으로 조직의 목표를 달성할 수 있다고 믿습니다."
㈜BGF리테일,2023년 하반기,유통·서비스,회계담당자,BGF가 생각하는 '좋은 친구'는 '언제 어디서나 최상의 상품과 서비스를 제공하여 고객 가치를 실현하고 사회 발전에 공헌하는 기업'입니다. 고객과 사회의 '좋은 친구'인 BGF리테일에 지원하게 된 동기에 대해 기술해 주세요. (최대 500자 입력 가능),"""BGF와 함께 만들어가는 사회""BGF 리테일에 지원하게 된 동기는, BGF 리테일의 일원으로서 선한 영향력에 동참하고 싶다는 이유에서입니다. 기업을 지원할 때 가장 중요하게 생각하는 것은, ‘해당 기업이 사회에 어떠한 영향을 끼치고 있는지’입니다. 저는 BGF 리테일이 우리 사회에 기여하는 일들에 매력을 느끼게 되었습니다.BGF 리테일은 최근 발생한 산불 피해 현장에 ’BGF 브릿지‘라는 이름으로 구축되어 있는 인프라를 통해 구호 물품을 지원하는 등 우리 사회에 끼치는 영향력을 증명해왔습니다. 이런 재난 상황에 대한 구호뿐 아니라, CU 편의점이 전국에 설치되어 있다는 것을 활용하여 아동 실종 예방 프로그램인, ‘아이 CU’ 캠페인을 실시함으로 인해 지역사회의 안전망 역시 구축하고 있는 것으로 알고 있습니다.BGF 리테일이 우리 사회의 ‘좋은 친구’가 되었듯, 저는 BGF 리테일의 ‘좋은 직원’이 되고 싶습니다."
㈜BGF리테일,2023년 하반기,유통·서비스,회계담당자,"그동안 쌓은 지식, 능력, 활동 및 경험 등을 기반으로 지원한 직무에 본인이 가장 적합하다는 것을 구체적인 업무 내용과 매칭하여 말씀해 주세요. (최대 500자 입력 가능)","재무회계는 제가 가장 잘할 수 있는 직무이자, 즐길 수 있는 직무입니다. 저는 재무회계 담당 직원으로서의 경쟁력을 갖추기 위해 다음과 같은 역량을 쌓았습니다.첫째는, ‘소통 능력’입니다. 2023년 1기 부가가치세 신고 현장 실습을 진행한 경험이 있습니다. 이 실습 중에 있어 팀장으로서 활동하며 세무 공무원들과 업무를 조율하고 협동하며 유대적인 관계를 형성하는 법에 대해 배웠고 민원인들을 상대하며 고객의 니즈를 파악하고 충족시키는 방법에 대해 배웠습니다.둘째로, ‘직무 관련 지식’입니다. 공인회계사 시험과 재경관리사 자격시험을 준비하면서, 기존의 전공에서 배우던 재무회계 보다 더욱 심화된 지식을 쌓을 수 있었습니다. 예를 들어 전공 수업에서는 배울 수 없었던 연결재무제표 작성 방법을 배우게 되었고, 법인세 회계를 학습하면서 세무회계와 재무회계 간의 연결성에 대해 보다 더 근본적으로 깨닫는 계기가 되었습니다.이러한 제 경험과 지식을 바탕으로, BGF리테일의 일원으로서 함께 성장할 수 있게 노력하겠습니다."
