직무,자소서_개수,실무_키워드_15,인재상_키워드_10,추천_대기업_Top3,통합_키워드_25
(당진)품질관리_고로공정,4,"데이터, 분석, 압축기, 전환, 중국어, 구동, 문제, 수소, 결과, 유학, 대화, 근거, 예측, 반응, 발생","공정, 도전, 소통, 신뢰, 고객, 편의, 품질, 최고지향, 커뮤니티, 디지털","국민건강보험공단(공공기관), 국민연금공단(공공기관), 한국산업은행(금융·보험)","데이터, 분석, 압축기, 전환, 중국어, 구동, 문제, 수소, 결과, 유학, 대화, 근거, 예측, 반응, 발생, 공정, 도전, 소통, 신뢰, 고객, 편의, 품질, 최고지향, 커뮤니티, 디지털"
5급 제조직,3,"계획, 제품, 경청, 팀원, 의견, 해결, 결과, 시간, 구축, 산업, 핵심, 반도체, 우수, 보고서, 방안","소통, 인재, 공정, 도전, 성장, 혁신, 고객, 편의, 품질, 최고지향","SK텔레콤(통신·미디어), SK브로드밴드(통신·미디어), LG유플러스(통신·미디어)","계획, 제품, 경청, 팀원, 의견, 해결, 결과, 시간, 구축, 산업, 핵심, 반도체, 우수, 보고서, 방안, 소통, 인재, 공정, 도전, 성장, 혁신, 고객, 편의, 품질, 최고지향"
5급_인프라엔지니어,4,"문제, 해결, 시스템, 개선, 자동차, 관리, 분석, 프로젝트, 정비, 산업, 기사, 강화, 캡스톤, 디자인, 회생","효율, 안정, 열정, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 정도경영","현대글로비스(항공·물류), 이마트(유통·서비스), 삼성생명(금융·보험)","문제, 해결, 시스템, 개선, 자동차, 관리, 분석, 프로젝트, 정비, 산업, 기사, 강화, 캡스톤, 디자인, 회생, 효율, 안정, 열정, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 정도경영"
6급/원급_R&D(제품개발),2,"실험, 구조, 문제, 제품, 직무명, 단순, 원인, 단계, 조건, 수행, 연구, 결과, 방식, 방향, 열화","공정, 안정, 신뢰, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌","국민연금공단(공공기관), 한국산업은행(금융·보험), 국민건강보험공단(공공기관)","실험, 구조, 문제, 제품, 직무명, 단순, 원인, 단계, 조건, 수행, 연구, 결과, 방식, 방향, 열화, 공정, 안정, 신뢰, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌"
AI 분야 (RAG System Engineer),4,"시스템, 연구, 데이터, 성능, 수행, 문제, 검색, 성과, 최적화, 학습, 실무, 산업, 해결, 엔드, 개선","안정, 성장, 혁신, 디지털, 도전, 책임, 인재, 서비스, 신뢰, 효율","삼성생명(금융·보험), 카카오헬스케어(제약·바이오), KB생명보험(금융·보험)","시스템, 연구, 데이터, 성능, 수행, 문제, 검색, 성과, 최적화, 학습, 실무, 산업, 해결, 엔드, 개선, 안정, 성장, 혁신, 디지털, 도전, 책임, 인재, 서비스, 신뢰, 효율"
AI 서비스 기획,1,"학습, 연구, 체계, 데이터, 개인, 가드레일, 무명, 이해, 수업, 번역, 분석, 성능, 최적화, 수행, 최신","서비스, 도전, 신뢰, 협력, 성장, 책임, 디지털, 안정, 열정, 공정","대한항공(항공·물류), 인천국제공항공사(공공기관), 한국공항공사(공공기관)","학습, 연구, 체계, 데이터, 개인, 가드레일, 무명, 이해, 수업, 번역, 분석, 성능, 최적화, 수행, 최신, 서비스, 도전, 신뢰, 협력, 성장, 책임, 디지털, 안정, 열정, 공정"
AI센터_SW개발,4,"데이터, 모델, 구조, 개발, 시스템, 문제, 사용자, 학습, 음성, 디바이스, 인식, 제어, 분석, 처리, 탐지","성장, 신뢰, 서비스, 효율, 투명, 혁신, 안정, 책임, 편의, 품질","인천국제공항공사(공공기관), 한국공항공사(공공기관), 한국철도공사(공공기관)","데이터, 모델, 구조, 개발, 시스템, 문제, 사용자, 학습, 음성, 디바이스, 인식, 제어, 분석, 처리, 탐지, 성장, 신뢰, 서비스, 효율, 투명, 혁신, 안정, 책임, 편의, 품질"
AVP 공정기술,4,"전력, 케이블, 해결, 분석, 공급, 인터럽트, 주파수, 문제, 양산, 방식, 시간, 오차, 전문, 결과, 활용","안정, 책임, 공정, 서비스, 고객, 편의, 품질, 최고지향, 커뮤니티, 디지털","삼성생명(금융·보험), KB생명보험(금융·보험), 신한생명(금융·보험)","전력, 케이블, 해결, 분석, 공급, 인터럽트, 주파수, 문제, 양산, 방식, 시간, 오차, 전문, 결과, 활용, 안정, 책임, 공정, 서비스, 고객, 편의, 품질, 최고지향, 커뮤니티, 디지털"
AVP사업팀_반도체공정기술,12,"반도체, 문제, 팀원, 패키징, 해결, 상황, 프로젝트, 데이터, 분석, 개선, 특허, 지식, 출산, 이해, 시간","공정, 도전, 효율, 협력, 소통, 혁신, 안정, 고객, 성장, 서비스","국민건강보험공단(공공기관), 한국산업은행(금융·보험), 국민연금공단(공공기관)","반도체, 문제, 팀원, 패키징, 해결, 상황, 프로젝트, 데이터, 분석, 개선, 특허, 지식, 출산, 이해, 시간, 공정, 도전, 효율, 협력, 소통, 혁신, 안정, 고객, 성장, 서비스"
Application Engineering,3,"반도체, 평가, 지식, 개발, 제품, 목표, 생활비, 무명, 시스템, 분석, 확인, 파악, 멘티, 셋 업, 취미","고객, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 안정, 열정","삼성SDS(IT·전자), 삼성생명(금융·보험), 삼성증권(금융·보험)","반도체, 평가, 지식, 개발, 제품, 목표, 생활비, 무명, 시스템, 분석, 확인, 파악, 멘티, 셋 업, 취미, 고객, 성장, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 안정, 열정"
Application Engineering (이천/분당),6,"반도체, 이용, 팀원, 제어, 프로젝트, 책임감, 지식, 인식, 개발, 구현, 자율, 과목, 학습, 차선, 스터디","공정, 도전, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 안정, 열정","국민건강보험공단(공공기관), 국민연금공단(공공기관), 한국산업은행(금융·보험)","반도체, 이용, 팀원, 제어, 프로젝트, 책임감, 지식, 인식, 개발, 구현, 자율, 과목, 학습, 차선, 스터디, 공정, 도전, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 안정, 열정"
B2B 제안/수행,2,"피드백, 개발, 프로젝트, 의견, 데이터, 분석, 팀원, 협업, 지식, 이해, 인턴, 대응, 컴퓨터, 이중, 전공","도전, 서비스, 소통, 고객, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌","제일기획(유통·서비스), 현대카드(금융·보험), SK텔레콤(통신·미디어)","피드백, 개발, 프로젝트, 의견, 데이터, 분석, 팀원, 협업, 지식, 이해, 인턴, 대응, 컴퓨터, 이중, 전공, 도전, 서비스, 소통, 고객, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌"
BS사업본부 - Software,2,"제어, 로봇, 구현, 개발, 센서, 시스템, 프로젝트, 알고리즘, 임베디드, 분석, 기능, 활용, 무명, 요구사항, 해당","안정, 고객, 혁신, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 열정","삼성생명(금융·보험), KB생명보험(금융·보험), 신한생명(금융·보험)","제어, 로봇, 구현, 개발, 센서, 시스템, 프로젝트, 알고리즘, 임베디드, 분석, 기능, 활용, 무명, 요구사항, 해당, 안정, 고객, 혁신, 편의, 품질, 최고지향, 커뮤니티, 디지털, 글로벌, 열정"
Beauty 디지털커머스,3,"채널, 전략, 온라인, 기획, 분석, 매출, 유입, 특성, 플랫폼, 면접, 부진, 활용, 도출, 기능, 제안","고객, 서비스, 커뮤니티, 디지털, 성장, 편의, 품질, 최고지향, 글로벌, 안정","한화호텔앤드리조트(유통·서비스), 호텔신라(유통·서비스), 롯데호텔앤드리조트(유통·서비스)","채널, 전략, 온라인, 기획, 분석, 매출, 유입, 특성, 플랫폼, 면접, 부진, 활용, 도출, 기능, 제안, 고객, 서비스, 커뮤니티, 디지털, 성장, 편의, 품질, 최고지향, 글로벌, 안정"
Biz(일반),4,"데이터, 문제, 기획, 개선, 믿음, 입력, 결제, 해결, 인정, 금융, 플랫폼, 활용, 코드, 협업, 의견","신뢰, 고객, 정직, 디지털, 서비스, 열정, 도전, 협력, 투명, 성장","한화생명(금융·보험), KB국민은행(금융·보험), 우리은행(금융·보험)","데이터, 문제, 기획, 개선, 믿음, 입력, 결제, 해결, 인정, 금융, 플랫폼, 활용, 코드, 협업, 의견, 신뢰, 고객, 정직, 디지털, 서비스, 열정, 도전, 협력, 투명, 성장"
CFO부문 본사 회계,2,"행사, 상황, 부분, 기업, 팀장, 기획, 불확실, 할로윈, 성공, 주최, 팀원, 대면, 중요, 정보, 결과","성장, 고객, 열정, 인재, 협력, 효율, 편의, 품질, 최고지향, 커뮤니티","이랜드리테일(유통·서비스), 삼성SDS(IT·전자), 현대글로비스(항공·물류)","행사, 상황, 부분, 기업, 팀장, 기획, 불확실, 할로윈, 성공, 주최, 팀원, 대면, 중요, 정보, 결과, 성장, 고객, 열정, 인재, 협력, 효율, 편의, 품질, 최고지향, 커뮤니티"
