회사명,연도,직무분야,직무명,경력,질문 내용,답변
KB 국민은행,2025 상반기,IT·개발·전자,AI/데이터 부문,,1. KB국민은행 2025년 동계 체험형 인턴십 해당부문에 지원한 동기가 무엇인지 기술해 주십시오.,"[하나의 발전은 10의 실행, 100의 노력으로 완성된다]
저는 '1의 발전은 10의 실행, 100의 노력으로 완성된다'는 신념을 가지고 있습니다. 모든 시도가 성과로 바로 연결되지는 않았으나, 그 과정에서 얻은 경험을 통해 꾸준히 성장했습니다. 이러한 가치관은 KB국민은행의 '담대한 혁신' 비전과 일치한다고 느꼈고, 인턴으로 근무하며 기업과 더불어 개발자로서 같이 도전하며 성장하고 싶어서 지원하였습니다.
최근 국민은행은 신기술 및 신사업의 속도를 내기 위해 AI 거버넌스 구축을 진행하며 금융업의 디지털 전환을 가속화하고 있습니다. 또한 AI 포트폴리오 투자 서비스, AI 금융비서 등 금융과 디지털을 융합하며 고객 중심의 금융 혁신에 기여하고 있습니다.
국민은행의 AI 데이터 직무에서 인턴십 프로젝트를 수행하게 된다면, AI, 데이터 관련 연구 프로젝트를 수행하는 과정에서 모델 학습시, 데이터 피처 선정과 데이터 플로우 설계를 수행하며 최적의 모델 결과를 도출하겠습니다.
[다양한 시도로부터 도출된 성공 지표]
MSP 클라우드 회사에서 매도,매수가 예측 모델 업무 중, AWS에 대한 이해 부족과 데이터 노이즈가 많아 모델 정확도 도출에 어려움을 겪었습니다. 이를 해결하기 위해, 퇴근 후 공식 문서와 AWS 서밋의 MLOps 자료를 통해 이론을 실무 기술로 발전시켰습니다. 이를 바탕으로, S3에 적재한 데이터를 boto3을 이용해 SageMaker환경에서 분석하며, 데이터의 20% 결측치를 K-NN 알고리즘으로 보완하여 시간 순차성을 구축했습니다. 이후, Prophet 모델을 활용하여 WAPE 0.12의 성과를 달성하며 프로젝트를 성공적으로 마무리할 수 있었습니다.
이러한 경험을 토대로, AI 데이터 인턴 직무에서 다양한 가설을 시도해 보고, 경험을 통해 성장하며 AI 연구 프로젝트 최적의 결과를 도출하겠습니다. 궁극적으로, 국민은행의 AI 개발자로 입행하여 디지털 금융 전문가로 성장하겠습니다."
KB 국민은행,2025 상반기,IT·개발·전자,AI/데이터 부문,,2. 지원한 부문에서 이루고자 하는 목표와 그것을 위해 어떤 노력을 하였는지 기술해 주십시오.,"[금융과 디지털 기술의 상생을 추구하는 전문가]
저는 금융과 디지털 기술의 조화를 통해 고객과 기업 모두에게 가치를 창출하는 전문가가 되는 것입니다. 당행의 인턴십을 수행하며 금융 디지털 전문가가 되기 위한 초석을 다지고 싶습니다. 고객 중심 서비스를 선사하는 KB 국민은행에서 AI를 활용한 맞춤형 금융 솔루션 방식과 고객과의 연결성을 배우고 싶습니다. 이를 통해 디지털 기술을 기반으로 금융 서비스를 구축할 수 있는 역량을 키우고 싶습니다.
이를 위해 저는 금융, 클라우드, AI 도메인 분야에서 3번의 인턴 실습과 학부 연구생, AI 부트캠프를 통해 데이터와 기술의 융합 능력을 지속적으로 키워왔습니다. 이를 바탕으로, 졸업 프로젝트에서는 공공 데이터 API를 활용해 '서울 지역 인구와 트렌드'를 분석하는 프로젝트를 개발하며 데이터 수집, 처리, 예측 모델링을 수행했습니다.
EC2 인스턴스에서 nohup으로 백그라운드 프로세스를 지정해 2달간 시계열 데이터를 생성했습니다. 이 후, smtplib으로 모니터링을 진행하여 데이터 무결성 확보와 자동화 시스템의 안정성을 높였습니다. S3에 적재된 인구 데이터를 사용하여 Prophet 모델로 인구 동향을 92%의 정확도로 예측했으며, RDS에 저장된 리뷰 데이터를 Konlpy로 분석을 진행하고 지역별 키워드를 워드클라우드로 시각화하여 실시간 트렌드 서비스를 구현했습니다.
데이터 기반 인사이트를 서비스로 전환하는 과정에서 안정성과 신뢰성의 중요성을 배웠습니다. 특히, 자동화 시스템을 구축하고 유지보수 과정을 향상한 경험은 안정적인 금융 시스템을 유지하는 데 있어 중요한 역량이 될 것이라 확신합니다. 이를 바탕으로, KB 국민은행 인턴십을 통해 AI를 활용한 고객 맞춤형 금융 서비스를 경험하며, 디지털 혁신을 이끄는 실무 인재로 성장하고 싶습니다. 이를 바탕으로 금융과 디지털 기술의 상생을 추구하는 전문가로 성장하겠습니다."
KB 국민은행,2025 상반기,IT·개발·전자,AI/데이터 부문,,"3. 본인이 읽었던 책 중에 가장 추천할 만한 책을 소개하고, 그 이유에 대해 기술해 주십시오.","[죽은 시인의 사회, Carpe Diem]
제가 가장 추천하고 싶은 책은 '죽은 시인의 사회'입니다. 이 책은 자유와 창의성, 그리고 개인의 목소리를 찾는 과정을 다룬 작품으로, 저에게 삶의 방향성과 태도에 대해 깊이 고민하게 해주었고, 삶을 주도적으로 살아가는 자세의 중요성을 일깨워주었습니다. 키팅 선생님의 'Carpe Diem(현재를 잡아라)'이라는 가르침은 단순히 문학적인 울림을 넘어, 제가 목표를 세우고 실행에 옮길 때 반드시 기억해야 할 신념으로 자리 잡았습니다.
책을 읽으며 제가 기존에 가졌던 안전한 선택과 틀에 박힌 사고방식에 대해 다시금 생각하게 되었습니다. 이를 바탕으로, 학업과 업무에서 새로운 도전에 주저하지 않고, 배움과 성장을 위해 최선을 다하려 노력하게 되었습니다. 학부 시절부터 운영한 개인 블로그는 'Carpe Diem'의 대표적 사례입니다. 250개 이상의 게시물을 작성하며 2만 명 이상의 방문자와 함께 데이터 분석, AI, CS, Cloud 등 학업과 실무에서 배운 내용을 기록하고 공유했습니다. 이러한 과정은 단순한 지식 전달을 넘어 제 스스로 배우고 성장하며, 새로운 도전 과제를 찾아내는 계기가 되었습니다.
이를 바탕으로, AI 학회, 학부 연구생 등 주도적으로 학습을 도모하며 디지털 역량을 발전시켰습니다. AI 학회 활동을 수행하며 SOTA 논문 리뷰를 통해 Transformer, ViT 등 이론을 공부하고, 최신 기술이 어떻게 실제 문제에 적용되는지를 탐구했습니다. 이를 바탕으로, CV 스타트업과 산학협력 연구를 진행하며, Yolov5 모델의 객체 탐지를 이용하여 쓰레기를 탐지하는 학술 논문을 발표하였습니다. 연구를 진행하는 과정 중에서, 이미지 라벨링과 증강 기법을 통해 모델 성능을 최적화하며, 실질적인 문제 해결을 위한 AI 기술의 적용 가능성을 체감했습니다.
책의 교훈을 바탕으로, 국민은행에서도 끊임없이 도전하며 배움을 멈추지 않는 개발자로 성장하겠습니다."
KB 국민은행,2025 상반기,IT·개발·전자,AI/데이터 부문,,"4. 나와 대다수의 의견이 다른 경우, 본인이 대처했던 경험과 그로부터 얻은 교훈이 있다면 기술해 주십시오.","[직무 간 경계를 허물다: 혁신을 향한 협업]
타 은행 인턴 당시, 조장을 맡아 8명의 조원과 함께 혁신기업을 발굴하는 '창공' 프로젝트를 수행했습니다. 보고서 기획 초기, 전공과 업무의 차이에서 비롯된 사고방식 차이로 인해 기술적인 접근과 비즈니스 중심의 접근을 주장하는 조원들 사이의 의견 충돌이 발생하며, 보고서 작성 방향이 모호해지는 문제가 발생했습니다. 이를 해결하고자 저는 팀원 간 의사소통의 기반을 마련하고, 각자의 역량과 관점을 융합할 수 있는 방안을 고민했습니다
먼저, 의사소통 환경을 개선하기 위해 Notion을 활용한 공유 문서와 KPT 회고를 도입했습니다. 일일 회의에서 각자의 의견을 기록하고, 개선점과 주요 포인트를 분석하며 팀 소통의 공백을 메워나갔습니다. 이를 통해 각자의 강점과 개선점에 대한 팀원의 이해도가 높아졌고, 협업의 방향성을 하나로 모을 수 있었습니다. 이후, 각자의 전공 및 역량에 맞게 역할을 세분화하여 업무를 분담했습니다.
이를 기반으로, 공학적 사고를 가진 조원은 디지털 서비스 개선안과 UI/UX 개선안을 발굴했으며, 비즈니스 사고를 가진 조원은 SWOT 분석과 시장 진입 전략, ESG 경영 전략을 반영하여 보고서를 완성했습니다. 결과적으로, 하나의 목표를 향해 각자의 강점을 발휘한 협업은 보고서의 완성도를 높였고, 저를 포함한 대다수의 조원이 우수 인턴으로 선정되는 성과를 거뒀습니다.
이 경험을 통해, 가치 있는 협업을 위해서는 팀원 간 의도를 명확히 이해하고 공통된 목표를 설정하는 것이 중요하다는 것을 배웠습니다. 또한, 각자의 차이를 단점이 아닌 장점으로 융합할 때 시너지가 발휘된다는 점을 깨달았습니다. 인턴십 프로젝트의 직무연수와 프로젝트를 수행하는 과정에서, 의사소통을 통해 팀원 간 요구 사항과 강점을 명확히 파악하여 가설검증부터 모델 설계를 추진하여 AI 모델 및 분석 활용도를 극대화하겠습니다.
🔥KB국민은행 스크랩 TOP 자소서 함께 확인하세요!
https://linkareer.com/cover-letter/34829"
KB국민은행,2024 하반기,금융·지주,UB_기업고객금융·고객자산관리,,1. KB국민은행에 지원하게 된 동기를 본인이 지원한 부문과 연관지어 작성해 주시기 바랍니다.,"[고객 중심 소통으로 고객의 자산관리 단짝이 되겠습니다]
제가 가진 다양한 유형의 고객 응대 능력과 문제해결 능력, 윤리 의식을 국민은행의 개인금융 UB에서 발휘하고 국민은행의 노하우를 배워 국민은행의 성장과 사회적 가치 창출에 기여하고자 지원하였습니다. 국민은행 UB는 가장 가까운 거리에서 고객과 마주할 수 있기 때문에 무척 중요하며, 고객만족도조사 1위를 달성한 고객 중심성과 리테일 사업에 영업 역량을 집중하는 국민은행서 저의 강점을 잘 발휘할 수 있다고 생각하였습니다.
올리브영 아르바이트에서 고객 중심으로 생각하여 니즈를 충족시킨 경험이 있습니다. 방문하는 고객들의 연령대, 구매 시 가장 고려하는 점을 응대 중 설문 조사하여 행사 상품 배치에 활용하였습니다. 선호도를 고려한 상품 배치는 판매량 증가로 이어졌고, 고객 중심 마인드는 가치를 창출할 수 있다는 점을 배웠습니다. 저는 이러한 고객 중심 마인드를 입행 후에도 활용하겠습니다.
저는 그 중에서도 국민은행의 PB가 되고 싶습니다. 초고령화 사회로의 진입과 1인 가구 증가로 맞춤형 자산관리의 니즈는 계속해서 증가하고 있습니다. 이에 고객 만족과 전문성을 함양한 올라운더 PB가 되어 고객의 자산관리 니즈를 충족시킬 수 있도록 경제 등 여러 분야의 역량을 개발하고, 영업점에서의 원활한 고객 응대를 위해 고객의 다양성을 수용하는 시각을 키워 실무에 적용하겠습니다. 예를 들어, 금융소외 계층에는 금융 교육 프로그램을, 다문화 고객께는 ‘KB AI Translator’와 같은 다국어 번역 서비스를 소개하겠습니다."
KB국민은행,2024 하반기,금융·지주,UB_기업고객금융·고객자산관리,,"2. 빠르게 변화하는 금융환경 속에서 고객가치를 향상시키는 프로금융인의 역량과 자질은 무엇인지 기술하고, 본인은 어떤 준비를 하고 있는지 작성해 주시기 바랍니다.","[고객 만족과 전문성을 아우르는 올라운더]
KB국민은행의 프로금융인이라면 고객의 금융정보를 바탕으로 고객 니즈에 맞춰 다양한 업무를 혁신적으로 수행한다는 점에서 전문성, 윤리 의식, 의사소통 능력이 필요하다고 생각합니다. 저는 행정 인턴 경험과 판촉 아르바이트 경험으로 이러한 능력들을 쌓았습니다.
특히, 금융서비스는 신뢰를 바탕으로 운영되고 고객의 개인정보를 다룬다는 점에서 윤리 의식이 가장 중요하다고 생각합니다. 여기에 더해 금융상품은 고객분에게는 복잡할 수 있으므로 고객이 쉽게 이해할 수 있도록 쉬운 설명을 제공하는 의사소통 능력이 필요합니다. 1년간의 행정 인턴 근무에서 학생들의 개인정보와 중요한 공문서가 외부로 유출되지 않게 관리하고, 교내에서 발생하는 여러 문제를 해결하기 위해 교수님 협업하는 과정에서 해결 방안을 설명하며 의사소통 능력과 윤리 의식을 쌓았습니다.
덧붙여, 디지털 금융 서비스에 대한 최근 동향을 파악하기 위해 코리아 핀테크 위크에 참여하여 ‘AI 금융비서 ’와 ‘AI 포트폴리오’를 체험하였습니다. 금융 서비스에서 AI가 어떻게 활용될 수 있는지, 빅데이터를 통해 맞춤형 금융 서비스를 제공하는 방향으로 발전되고 있다는 점을 알 수 있었습니다.
또한, 은행원은 금융 상품 및 서비스, 금융규제, 경제 동향, 위험 관리 등에 대한 폭넓은 지식이 필요합니다. 저는 이러한 역량을 쌓기 위해 외환전문역 1종을 취득하였고, 관련 교육기관에서 경제전문가 교육을 받으며 미 연준의 금리인하와 스트레스 DSR에 관한 지식 등 경제 시각을 쌓았습니다.
이와 같은 준비를 통해 다변하는 금융환경에서 자산 가치를 극대화할 수 있는 역량을 갖추고, 프로 금융인으로서 고객에게 최상의 서비스를 제공하고자 합니다."
KB국민은행,2024 하반기,금융·지주,UB_기업고객금융·고객자산관리,,"3. 새로운 부문에 도전했던 경험(성공 또는 실패)을 기술하고, 이를 통해 배운 점을 향후 KB국민은행에서 어떻게 적용할 수 있는지 작성해 주시기 바랍니다.","[금융으로의 전환]
새로운 부문에 도전했던 경험 중 하나는 은행권에 대한 도전입니다. 저는 졸업 후 자산의 증가라는 더 높은 목표가 생겼고, 은행의 예·적금 상품과 투자상품을 이용하며 점차 금융 분야에 관심을 가지게 되었습니다.
[금융으로의 도전]
저의 전공과 전혀 다른 금융 세계에 진입하는 것은 저에게 있어 큰 도전이었습니다. 우선, 일정 기간 안에 어학, 금융 자격증 3개 이상 취득과 관련 분야의 지식을 학습하는 목표를 세웠습니다. 그 결과, 회계 및 세무와 경영학 과목을 수강하고 어학 자격증과 외환전문역 1종 자격증을 취득할 수 있었습니다. 처음에는 이해하기 어려웠지만, 점차 이해되기 위해 시작하며 시작하며 이러한 노력으로 끈기와 분석력을 얻을 수 있었습니다.
또한, 금융인은 의사소통 능력이 필수적이라고 생각하여 인턴 경험을 쌓았습니다. 행정 인턴 경험으로 타 부서에 갈등 없이 필요한 서류와 협조를 요청하고, 회의에서 교내 이슈에 대한 해결 방안을 제시하는 등 협업력과 소통 능력을 쌓을 수 있었습니다.
덧붙여, 이러한 역량을 쌓는 과정에서 기존 전공인 음악과 금융이라는 분야는 많은 공통점이 있다는 것을 알게 되었습니다.
첫째, 감정적 공감과 세심함은 고객의 입장을 이해하는 데에 큰 도움이 되어 고객의 재무 상태를 분석하고, 니즈에 맞는 적합한 자산관리 방안을 제시하는 데 있어 활용이 가능합니다. 둘째, 세심한 분석이 필요한 자산관리가 가능합니다. 음악적 배경을 통해 쌓은 분석력은 해당 역량이 요구되는 금융 지식 습득과 세심한 재무 상태 분석이 선행되는 자산관리에 있어 많은 도움이 될 것입니다. 이러한 경험을 활용해 저는 국민은행 입행 후에는 올라운더 PB가 되어 보다 혁신적이고 고객 중심의 금융 서비스를 제공하는 데 기여하고 싶습니다."
KB국민은행,2024 하반기,금융·지주,UB_기업고객금융·고객자산관리,,4. 예상결과가 부정적이고 해결이 어려웠던 과제를 혁신적인 생각과 행동으로 극복했던 사례를 구체적으로 작성해 주시기 바랍니다.,"[지역사회와 연계한 혁신적 아이디어의 실천]
저는 시민 평생교육 프로그램 운영을 주제로 한 행정 인턴십에 참여한 적이 있었습니다. 이 프로그램은 지역 시민을 대상으로 지역 특성과 연계한 평생학습 프로그램을 제안하고 논문을 작성하는 프로젝트였습니다. 이전에는 경험해 보지 못한 프로젝트로, 처음에는 진행에 많은 어려움이 있었습니다.
우선, 설문조사를 통해 시민들의 관심사와 직업군을 파악하였습니다. 해당 지역은 평균 연령대가 높았으며 제조업에 종사하는 시민이 많았습니다. 이에 더해 낮은 참여율과 실용적인 교육 프로그램 부족이라는 문제가 있었고, 문제를 해결하기 위해 고민하였습니다. 주 연령층인 노년층의 경우 디지털 앱 사용에 어려움이 많고, 금융사기를 당할 가능성이 높다는 점에 착안하여 ‘상생’을 키워드로 금융 앱 활용법과 보이스피싱 금융사기 예방 교육 및 대처법, 가계부 작성 등 실생활에 적용이 가능한 평생교육 프로그램을 제안하였습니다.
이에 더해 낮은 평생교육 프로그램 참여율을 높이기 위한 홍보 방안이 필요하다는 주사보님의 피드백을 받아 설문조사를 통해 지역 시민이 자주 이용하는 SNS와 사이트를 조사하였고, 지역 SNS 채널과 지역 특산물 축제에서 평생학습 프로그램 체험 부스를 활용하는 홍보방안을 제안하였습니다. 그 결과, 발표 과제를 무사히 마치며 시장님의 긍정적인 평가를 받아 시민 평생교육 프로그램 발전에 기여하는 성과를 얻을 수 있었습니다.
이러한 경험으로 상대방 중심에서 바라보는 것, 주변 환경과 결합하여 생각하는 것은 혁신적 사고의 원천이 되며 지역 사회 가치 창출에 기여할 수 있다는 교훈을 얻었습니다. 이러한 교훈을 적극 활용하여 혁신적 사고와 행동으로 국민은행의 프로금융인이 되어 조직 성장에 이바지하고자 합니다."
SK하이닉스,2025 상반기,IT·개발·전자,기반기술 (Infra Tech),,1. 지원 분야 및 직무 역량과 관련된 프로젝트/공모전/논문/연구/학습/활동/경험 등을 작성해주세요.,"(예시)
[경험] 회로 및 시스템 설계 연구실 학부 연구생 / [소속] OO대학교 OOO 교수, 회로 및 시스템 설계 연구실 / [역할] CMOS 집적회로 설계 및 성능개선 분석
(1). 탄소분말재료연구실 학부연구생/ 전북대학교 권한중 교수, 탄소분말재료 연구실/ 반도체 전자파 차폐를 위한 MAX분말과 MXENE필름 합성 실험 주도
(2). 사회문제 개선과 지역관광지 활성화를 위한 창업아이템 개발/ 하나소셜벤처유니버시티/ [팀장] NFC태그소리신호등을 아이템으로 개발하여 대학교 대표팀 선정 후 기업 최종 발표진행
(3). 분리 세척이 가능한 금속 빨대를 고안함/전북대학교 졸업캡스톤 프로젝트/ 조원들과 함께 프로토 타입 제작 후 패널 전시회 참가
(4). 중고등학교 수학 과외/ 미적분을 다시 배워보고 싶다는 생각에 도전했고, 6개월간 수업을 진행"
SK하이닉스,2025 상반기,IT·개발·전자,기반기술 (Infra Tech),,2. 지원하신 직무 분야의 전문성을 키우기 위해 꾸준히 노력한 경험에 대해 서술해주세요.,"(전문성의 구체적인 영역(ex. 통계 분석) / 전문성을 높이기 위한 학습 과정 / 지식과 기술을 실전에 적용한 경험 / 경험의 진실성을 증명할 수 있는 근거가 잘 드러나도록 기술해주세요.)
[연구는 반복보다, 분석이 먼저다]
학부 연구실에서 반도체 패키지 전자파 차폐를 위한 맥신(MXene) 소재를 합성하던 중, 박막이 두껍고 균일하지 않아 반복된 실패를 겪었습니다. 단순히 조건을 바꿔가며 실험을 반복해서는 해결이 어려웠고, 변수 간 상관관계를 분석이 필요했습니다.
합성 공정의 핵심 변수인 온도, 애칭 시간, pH 등을 정리해 데이터셋을 구성했고, SEM 분석을 통해 변수와 미세구조의 상관관계를 정량적으로 파악했습니다. 그 결과, 특정 조건에서 결정 구조가 안정되며 수율이 기존 대비 30% 개선되었습니다.
이후 선임 연구원의 갑작스러운 퇴사로 단기간에 30개의 시편 데이터를 확보해야 하는 긴박한 상황에서도, 공정과정을 40% 간소화하고, 실험 단계를 나눠 팀원들과 효율적으로 협업하여 기한 내에 마무리할 수 있었습니다. 문제를 마주했을 때 피하지 않고, 분석을 통해 해답을 찾았던 이 경험들은 '데이터 중심 문제 해결 태도'을 연구에서 키우는 계기가 되었습니다.
이러한 경험을 통해, 기반기술 직무에서도, 공정 조건별 데이터를 체계적으로 분석하여 수율과 품질을 모두 개선시킬 수 있는 최적의 방안을 제시하여 기반기술 혁신에 기여하겠습니다"
