산업분야,직무,직위,질문순위,핵심단어,질문빈도,답변키워드_TOP20
,AI/ML엔지니어,신입,1,직무역량,1,"구현, 인식, 데이터, 이용, 번호판, 자동, 기술, 알고리즘, 연구, 개발, 모델, 구축, 학습, 보드, 차량, 지원, 임베디드, 시스템, 러닝, 기반"
,AI/ML엔지니어,신입,2,자기소개,1,"데이터, 다양, 경험, 러닝, 프로젝트, 공부, 논문, 통계, 머신, 분야, 연구실, 열정, 관련, 이론, 방법, 지식, 생각, 학회, 진행, 학부"
,IT·기술영업,신입,1,경험,2,"기술, 산업, 사람, 고객, 소통, 생각, 대응, 전공, 데이터, 편리, 최적, 솔루션, 제안, 현대오토에버의, 영업, 사업, 유치, 응답, 업무, 징검다리"
,IT·기술영업,신입,2,직무역량,1,"제안, 경험, 챗봇, 분석, 고객사, 소통, 회사, 기술, 콜센터, 고객, 이용, 마케팅, 방안, 직무, 사업, 기반, 대체, 도입, 음성, 데이터"
,IT·기술영업,인턴,1,성장과정,1,"포기, 식량, 무인도, 부모, 상황, 자세, 친구, 가르침, 경험, 문제, 준비, 조사, 낚싯대, 실패, 대화, 의견, 우리, 자신, 맞벌이, 남매"
,MD,신입,1,경험,3,"직무, 경험, 고객, 상품, 아르바이트, 매출, 쇼핑, 판매, 시장, 남성, 역량, 영업, 업무, 구매, 패션, 성장, 채널, 남성복, 인턴십, 선택"
,MD,신입,2,지원동기,1,"성장, 회사, 고객, 비전, 여행, 하나투어, 하나, 투어, 도전, 유통, 사업, 생각, 문화, 관광, 포부, 사원, 가능, 주목, 업계, 타이틀"
,MD,신입,3,직무역량,1,"한계, 손질, 아르바이트, 즐거움, 정육, 생각, 사장, 업무, 개월, 마트, 코너, 기억, 공고, 도전, 작정, 지원, 시작, 남자, 야단, 인정"
,MD,신입,4,장단점,1,"인사, 사람, 소통, 어머니, 경청, 이야기, 건너편, 아버지, 능력, 학교생활, 다양, 주제, 대화, 웃음, 해답, 고객, 의견, 현대홈쇼핑, 직무, 아이"
,MD,신입,5,자기소개,1,"여행, 문화, 시간, 차이, 친구, 이해, 패키지, 여행사, 일본, 행복, 학생, 도쿄, 동안, 투어, 집합, 이동, 수업, 관광, 기획, 기획자"
